time,soft_flux,hard_flux
2026-06-24 12:00:02,37.0,321.0
2026-06-24 12:00:09,52.0,138.0
2026-06-24 12:00:18,39.0,8.0
2026-06-24 12:00:19,39.0,122.0
2026-06-24 12:00:33,47.0,244.0
2026-06-24 12:00:41,28.0,197.0
2026-06-24 12:00:49,40.0,224.0
2026-06-24 12:00:57,52.0,112.0
2026-06-24 12:01:31,43.0,50.0
2026-06-24 12:01:37,44.0,105.0
2026-06-24 12:01:43,47.0,129.0
2026-06-24 12:01:51,49.0,171.0
2026-06-24 12:01:58,30.0,7.0
2026-06-24 12:02:07,43.0,267.0
2026-06-24 12:02:22,35.0,184.0
2026-06-24 12:02:31,38.0,231.0
2026-06-24 12:02:39,35.0,146.0
2026-06-24 12:02:54,25.0,182.0
2026-06-24 12:03:02,37.0,188.0
2026-06-24 12:03:18,33.0,174.0
2026-06-24 12:03:25,44.0,161.0
2026-06-24 12:03:34,32.0,147.0
2026-06-24 12:03:40,33.0,45.0
2026-06-24 12:03:42,40.0,174.0
2026-06-24 12:03:48,38.0,7.0
2026-06-24 12:04:03,44.0,157.0
2026-06-24 12:04:12,36.0,176.0
2026-06-24 12:04:28,40.0,139.0
2026-06-24 12:04:43,37.0,168.0
2026-06-24 12:04:51,32.0,174.0
2026-06-24 12:05:07,21.0,13.0
2026-06-24 12:05:16,33.0,136.0
2026-06-24 12:05:23,30.0,211.0
2026-06-24 12:05:31,33.0,170.0
2026-06-24 12:05:47,44.0,165.0
2026-06-24 12:06:03,35.0,210.0
2026-06-24 12:06:11,28.0,154.0
2026-06-24 12:06:35,28.0,7.0
2026-06-24 12:06:43,24.0,155.0
2026-06-24 12:06:50,31.0,62.0
2026-06-24 12:06:51,30.0,128.0
2026-06-24 12:06:58,45.0,136.0
2026-06-24 12:07:05,34.0,44.0
2026-06-24 12:07:06,32.0,133.0
2026-06-24 12:07:30,28.0,140.0
2026-06-24 12:07:36,28.0,18.0
2026-06-24 12:07:38,45.0,167.0
2026-06-24 12:07:45,41.0,177.0
